;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
;Sweep Time (s);717.000E-3;20.717E+0;40.724E+0;60.725E+0;80.724E+0;100.725E+0;120.725E+0;140.724E+0;160.738E+0;180.738E+0;200.749E+0;220.749E+0;240.749E+0;260.749E+0;280.748E+0;300.748E+0;320.748E+0;340.752E+0;360.751E+0;380.751E+0;400.752E+0;420.751E+0;440.759E+0;460.760E+0;480.759E+0;500.759E+0;520.759E+0;540.760E+0;560.759E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
1;0;-159.245E-12;-157.669E-12;-182.896E-12;-178.166E-12;-181.319E-12;-192.356E-12;-203.392E-12;-198.662E-12;-195.509E-12;-214.429E-12;-212.853E-12;-223.889E-12;-228.619E-12;-219.159E-12;-253.846E-12;-264.883E-12;-271.190E-12;-310.607E-12;-335.834E-12;-343.718E-12;-381.558E-12;-376.828E-12;-405.208E-12;-422.552E-12;-402.055E-12;-411.515E-12;-394.172E-12;-405.208E-12;-406.785E-12
2;100;-152.939E-12;-165.552E-12;-178.166E-12;-167.129E-12;-179.742E-12;-179.742E-12;-193.932E-12;-198.662E-12;-206.546E-12;-217.583E-12;-214.429E-12;-222.313E-12;-231.773E-12;-217.583E-12;-260.153E-12;-261.730E-12;-266.460E-12;-313.761E-12;-342.141E-12;-353.178E-12;-379.981E-12;-381.558E-12;-400.478E-12;-405.208E-12;-405.208E-12;-411.515E-12;-394.172E-12;-408.362E-12;-409.938E-12
3;200;-146.632E-12;-162.399E-12;-168.705E-12;-171.859E-12;-186.049E-12;-195.509E-12;-189.202E-12;-193.932E-12;-193.932E-12;-206.546E-12;-230.196E-12;-220.736E-12;-230.196E-12;-220.736E-12;-258.577E-12;-263.307E-12;-269.613E-12;-310.607E-12;-337.411E-12;-351.601E-12;-378.405E-12;-386.288E-12;-394.172E-12;-398.902E-12;-400.478E-12;-411.515E-12;-405.208E-12;-409.938E-12;-405.208E-12
4;300;-151.362E-12;-165.552E-12;-175.012E-12;-171.859E-12;-193.932E-12;-192.356E-12;-190.779E-12;-203.392E-12;-200.239E-12;-208.123E-12;-227.043E-12;-223.889E-12;-238.080E-12;-233.350E-12;-263.307E-12;-271.190E-12;-274.343E-12;-312.184E-12;-346.871E-12;-354.754E-12;-381.558E-12;-389.441E-12;-394.172E-12;-413.092E-12;-391.018E-12;-409.938E-12;-398.902E-12;-405.208E-12;-405.208E-12
5;400;-151.362E-12;-152.939E-12;-175.012E-12;-171.859E-12;-189.202E-12;-190.779E-12;-187.626E-12;-201.816E-12;-200.239E-12;-216.006E-12;-217.583E-12;-222.313E-12;-234.926E-12;-231.773E-12;-275.920E-12;-266.460E-12;-272.767E-12;-316.914E-12;-334.257E-12;-361.061E-12;-387.865E-12;-383.135E-12;-394.172E-12;-397.325E-12;-394.172E-12;-411.515E-12;-392.595E-12;-398.902E-12;-403.632E-12
6;500;-154.515E-12;-162.399E-12;-186.049E-12;-178.166E-12;-193.932E-12;-181.319E-12;-192.356E-12;-208.123E-12;-197.086E-12;-216.006E-12;-222.313E-12;-230.196E-12;-234.926E-12;-227.043E-12;-261.730E-12;-263.307E-12;-274.343E-12;-313.761E-12;-337.411E-12;-351.601E-12;-386.288E-12;-383.135E-12;-398.902E-12;-398.902E-12;-392.595E-12;-411.515E-12;-400.478E-12;-397.325E-12;-405.208E-12
7;600;-156.092E-12;-163.975E-12;-176.589E-12;-179.742E-12;-189.202E-12;-181.319E-12;-192.356E-12;-206.546E-12;-198.662E-12;-217.583E-12;-220.736E-12;-230.196E-12;-225.466E-12;-230.196E-12;-271.190E-12;-263.307E-12;-271.190E-12;-334.257E-12;-332.681E-12;-348.448E-12;-387.865E-12;-379.981E-12;-403.632E-12;-413.092E-12;-397.325E-12;-406.785E-12;-392.595E-12;-400.478E-12;-400.478E-12
8;700;-143.478E-12;-162.399E-12;-168.705E-12;-178.166E-12;-184.472E-12;-190.779E-12;-197.086E-12;-203.392E-12;-208.123E-12;-216.006E-12;-217.583E-12;-227.043E-12;-236.503E-12;-228.619E-12;-277.497E-12;-261.730E-12;-274.343E-12;-320.067E-12;-335.834E-12;-345.294E-12;-383.135E-12;-378.405E-12;-394.172E-12;-417.822E-12;-397.325E-12;-411.515E-12;-394.172E-12;-386.288E-12;-406.785E-12
