;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
;Sweep Time (s);717.000E-3;20.717E+0;40.724E+0;60.725E+0;80.724E+0;100.725E+0;120.725E+0;140.724E+0;160.738E+0;180.738E+0;200.749E+0;220.749E+0;240.749E+0;260.749E+0;280.748E+0;300.748E+0;320.748E+0;340.752E+0;360.751E+0;380.751E+0;400.752E+0;420.751E+0;440.759E+0;460.760E+0;480.759E+0;500.759E+0;520.759E+0;540.760E+0;560.759E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
1;0;-160.822E-12;-181.319E-12;-209.699E-12;-227.043E-12;-230.196E-12;-219.159E-12;-167.129E-12;-214.429E-12;-195.509E-12;-195.509E-12;-201.816E-12;-206.546E-12;-201.816E-12;-80.411E-12;-67.797E-12;-83.564E-12;-85.141E-12;-159.245E-12;-204.969E-12;-162.399E-12;-257.000E-12;-242.810E-12;-268.037E-12;-242.810E-12;-297.994E-12;-275.920E-12;-294.840E-12;-257.000E-12;-271.190E-12
2;100;-162.399E-12;-178.166E-12;-201.816E-12;-212.853E-12;-228.619E-12;-220.736E-12;-176.589E-12;-219.159E-12;-201.816E-12;-193.932E-12;-201.816E-12;-197.086E-12;-206.546E-12;-70.951E-12;-66.221E-12;-93.024E-12;-85.141E-12;-162.399E-12;-216.006E-12;-163.975E-12;-244.386E-12;-255.423E-12;-272.767E-12;-263.307E-12;-286.957E-12;-266.460E-12;-296.417E-12;-264.883E-12;-274.343E-12
3;200;-170.282E-12;-190.779E-12;-206.546E-12;-201.816E-12;-223.889E-12;-223.889E-12;-181.319E-12;-222.313E-12;-195.509E-12;-179.742E-12;-201.816E-12;-197.086E-12;-197.086E-12;-63.067E-12;-69.374E-12;-77.258E-12;-83.564E-12;-170.282E-12;-222.313E-12;-156.092E-12;-242.810E-12;-242.810E-12;-261.730E-12;-266.460E-12;-286.957E-12;-272.767E-12;-299.570E-12;-263.307E-12;-279.073E-12
4;300;-167.129E-12;-189.202E-12;-204.969E-12;-203.392E-12;-230.196E-12;-217.583E-12;-190.779E-12;-212.853E-12;-192.356E-12;-200.239E-12;-204.969E-12;-198.662E-12;-203.392E-12;-78.834E-12;-64.644E-12;-81.988E-12;-85.141E-12;-168.705E-12;-216.006E-12;-165.552E-12;-253.846E-12;-249.116E-12;-250.693E-12;-269.613E-12;-275.920E-12;-277.497E-12;-305.877E-12;-263.307E-12;-275.920E-12
5;400;-165.552E-12;-203.392E-12;-206.546E-12;-217.583E-12;-242.810E-12;-214.429E-12;-181.319E-12;-216.006E-12;-182.896E-12;-203.392E-12;-204.969E-12;-195.509E-12;-200.239E-12;-81.988E-12;-75.681E-12;-85.141E-12;-66.221E-12;-168.705E-12;-220.736E-12;-175.012E-12;-242.810E-12;-236.503E-12;-266.460E-12;-266.460E-12;-277.497E-12;-279.073E-12;-302.724E-12;-266.460E-12;-283.803E-12
6;500;-163.975E-12;-182.896E-12;-198.662E-12;-214.429E-12;-233.350E-12;-217.583E-12;-171.859E-12;-211.276E-12;-193.932E-12;-206.546E-12;-204.969E-12;-193.932E-12;-197.086E-12;-74.104E-12;-74.104E-12;-83.564E-12;-89.871E-12;-168.705E-12;-220.736E-12;-176.589E-12;-253.846E-12;-244.386E-12;-266.460E-12;-258.577E-12;-293.264E-12;-274.343E-12;-310.607E-12;-263.307E-12;-266.460E-12
7;600;-156.092E-12;-184.472E-12;-212.853E-12;-216.006E-12;-234.926E-12;-209.699E-12;-179.742E-12;-219.159E-12;-197.086E-12;-204.969E-12;-206.546E-12;-203.392E-12;-197.086E-12;-80.411E-12;-64.644E-12;-80.411E-12;-91.448E-12;-163.975E-12;-212.853E-12;-167.129E-12;-249.116E-12;-241.233E-12;-260.153E-12;-264.883E-12;-293.264E-12;-274.343E-12;-305.877E-12;-264.883E-12;-279.073E-12
8;700;-165.552E-12;-190.779E-12;-200.239E-12;-211.276E-12;-231.773E-12;-222.313E-12;-175.012E-12;-222.313E-12;-204.969E-12;-204.969E-12;-206.546E-12;-192.356E-12;-212.853E-12;-77.258E-12;-64.644E-12;-70.951E-12;-91.448E-12;-165.552E-12;-212.853E-12;-170.282E-12;-241.233E-12;-234.926E-12;-260.153E-12;-260.153E-12;-304.300E-12;-264.883E-12;-291.687E-12;-260.153E-12;-275.920E-12
