;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
;Sweep Time (s);717.000E-3;20.717E+0;40.724E+0;60.725E+0;80.724E+0;100.725E+0;120.725E+0;140.724E+0;160.738E+0;180.738E+0;200.749E+0;220.749E+0;240.749E+0;260.749E+0;280.748E+0;300.748E+0;320.748E+0;340.752E+0;360.751E+0;380.751E+0;400.752E+0;420.751E+0;440.759E+0;460.760E+0;480.759E+0;500.759E+0;520.759E+0;540.760E+0;560.759E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
1;0;-102.485E-12;-102.485E-12;-104.061E-12;-91.448E-12;-93.024E-12;-91.448E-12;-80.411E-12;-81.988E-12;-94.601E-12;-94.601E-12;-89.871E-12;-88.294E-12;-94.601E-12;-85.141E-12;-102.485E-12;-100.908E-12;-94.601E-12;-104.061E-12;-97.755E-12;-115.098E-12;-102.485E-12;-105.638E-12;-116.675E-12;-127.712E-12;-126.135E-12;-130.865E-12;-127.712E-12;-141.902E-12;-119.828E-12
2;100;-89.871E-12;-102.485E-12;-97.755E-12;-88.294E-12;-89.871E-12;-80.411E-12;-77.258E-12;-85.141E-12;-83.564E-12;-97.755E-12;-81.988E-12;-89.871E-12;-96.178E-12;-88.294E-12;-97.755E-12;-100.908E-12;-99.331E-12;-105.638E-12;-85.141E-12;-108.791E-12;-93.024E-12;-111.945E-12;-111.945E-12;-132.442E-12;-134.018E-12;-130.865E-12;-121.405E-12;-143.478E-12;-116.675E-12
3;200;-96.178E-12;-104.061E-12;-107.215E-12;-85.141E-12;-81.988E-12;-91.448E-12;-83.564E-12;-85.141E-12;-86.718E-12;-94.601E-12;-75.681E-12;-75.681E-12;-91.448E-12;-93.024E-12;-94.601E-12;-100.908E-12;-104.061E-12;-104.061E-12;-91.448E-12;-115.098E-12;-113.521E-12;-105.638E-12;-110.368E-12;-122.982E-12;-126.135E-12;-132.442E-12;-130.865E-12;-138.748E-12;-119.828E-12
4;300;-96.178E-12;-94.601E-12;-102.485E-12;-77.258E-12;-88.294E-12;-85.141E-12;-85.141E-12;-91.448E-12;-89.871E-12;-89.871E-12;-89.871E-12;-83.564E-12;-97.755E-12;-88.294E-12;-93.024E-12;-105.638E-12;-102.485E-12;-104.061E-12;-93.024E-12;-111.945E-12;-113.521E-12;-111.945E-12;-111.945E-12;-121.405E-12;-122.982E-12;-119.828E-12;-135.595E-12;-143.478E-12;-122.982E-12
5;400;-102.485E-12;-100.908E-12;-104.061E-12;-89.871E-12;-100.908E-12;-85.141E-12;-86.718E-12;-88.294E-12;-89.871E-12;-93.024E-12;-88.294E-12;-86.718E-12;-94.601E-12;-89.871E-12;-91.448E-12;-102.485E-12;-93.024E-12;-110.368E-12;-105.638E-12;-105.638E-12;-122.982E-12;-115.098E-12;-122.982E-12;-121.405E-12;-122.982E-12;-126.135E-12;-138.748E-12;-137.172E-12;-119.828E-12
6;500;-104.061E-12;-96.178E-12;-110.368E-12;-93.024E-12;-94.601E-12;-85.141E-12;-81.988E-12;-86.718E-12;-89.871E-12;-94.601E-12;-93.024E-12;-86.718E-12;-96.178E-12;-94.601E-12;-91.448E-12;-94.601E-12;-99.331E-12;-115.098E-12;-100.908E-12;-108.791E-12;-115.098E-12;-116.675E-12;-127.712E-12;-122.982E-12;-124.558E-12;-124.558E-12;-132.442E-12;-141.902E-12;-127.712E-12
7;600;-108.791E-12;-110.368E-12;-97.755E-12;-86.718E-12;-91.448E-12;-91.448E-12;-80.411E-12;-80.411E-12;-96.178E-12;-94.601E-12;-91.448E-12;-88.294E-12;-85.141E-12;-102.485E-12;-88.294E-12;-89.871E-12;-96.178E-12;-102.485E-12;-96.178E-12;-102.485E-12;-111.945E-12;-115.098E-12;-127.712E-12;-113.521E-12;-129.288E-12;-129.288E-12;-129.288E-12;-140.325E-12;-124.558E-12
8;700;-116.675E-12;-107.215E-12;-104.061E-12;-88.294E-12;-99.331E-12;-89.871E-12;-74.104E-12;-83.564E-12;-89.871E-12;-100.908E-12;-88.294E-12;-96.178E-12;-86.718E-12;-99.331E-12;-107.215E-12;-99.331E-12;-94.601E-12;-108.791E-12;-93.024E-12;-115.098E-12;-105.638E-12;-122.982E-12;-118.251E-12;-118.251E-12;-129.288E-12;-135.595E-12;-132.442E-12;-134.018E-12;-108.791E-12
