;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
;Sweep Time (s);717.000E-3;20.717E+0;40.724E+0;60.725E+0;80.724E+0;100.725E+0;120.725E+0;140.724E+0;160.738E+0;180.738E+0;200.749E+0;220.749E+0;240.749E+0;260.749E+0;280.748E+0;300.748E+0;320.748E+0;340.752E+0;360.751E+0;380.751E+0;400.752E+0;420.751E+0;440.759E+0;460.760E+0;480.759E+0;500.759E+0;520.759E+0;540.760E+0;560.759E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
1;0;-234.926E-12;-238.080E-12;-244.386E-12;-257.000E-12;-258.577E-12;-261.730E-12;-264.883E-12;-285.380E-12;-302.724E-12;-301.147E-12;-293.264E-12;-301.147E-12;-318.491E-12;-301.147E-12;-318.491E-12;-350.024E-12;-340.564E-12;-394.172E-12;-409.938E-12;-405.208E-12;-419.398E-12;-436.742E-12;-441.472E-12;-441.472E-12;-413.092E-12;-436.742E-12;-433.589E-12;-447.779E-12;-436.742E-12
2;100;-212.853E-12;-231.773E-12;-241.233E-12;-252.270E-12;-258.577E-12;-247.540E-12;-269.613E-12;-285.380E-12;-293.264E-12;-302.724E-12;-291.687E-12;-309.030E-12;-320.067E-12;-299.570E-12;-334.257E-12;-354.754E-12;-346.871E-12;-403.632E-12;-413.092E-12;-408.362E-12;-427.282E-12;-428.859E-12;-449.356E-12;-428.859E-12;-420.975E-12;-433.589E-12;-436.742E-12;-441.472E-12;-447.779E-12
3;200;-220.736E-12;-230.196E-12;-247.540E-12;-236.503E-12;-258.577E-12;-253.846E-12;-269.613E-12;-288.534E-12;-285.380E-12;-313.761E-12;-291.687E-12;-305.877E-12;-318.491E-12;-320.067E-12;-318.491E-12;-340.564E-12;-351.601E-12;-405.208E-12;-420.975E-12;-413.092E-12;-432.012E-12;-419.398E-12;-443.049E-12;-427.282E-12;-424.129E-12;-432.012E-12;-446.202E-12;-439.895E-12;-447.779E-12
4;300;-220.736E-12;-241.233E-12;-242.810E-12;-245.963E-12;-263.307E-12;-274.343E-12;-263.307E-12;-279.073E-12;-302.724E-12;-302.724E-12;-313.761E-12;-321.644E-12;-321.644E-12;-323.221E-12;-320.067E-12;-337.411E-12;-351.601E-12;-389.441E-12;-425.705E-12;-405.208E-12;-447.779E-12;-420.975E-12;-436.742E-12;-436.742E-12;-422.552E-12;-439.895E-12;-446.202E-12;-441.472E-12;-436.742E-12
5;400;-234.926E-12;-236.503E-12;-239.656E-12;-241.233E-12;-263.307E-12;-261.730E-12;-244.386E-12;-279.073E-12;-301.147E-12;-302.724E-12;-305.877E-12;-315.337E-12;-323.221E-12;-309.030E-12;-312.184E-12;-348.448E-12;-346.871E-12;-397.325E-12;-411.515E-12;-413.092E-12;-450.932E-12;-425.705E-12;-438.319E-12;-439.895E-12;-417.822E-12;-438.319E-12;-422.552E-12;-439.895E-12;-443.049E-12
6;500;-222.313E-12;-234.926E-12;-242.810E-12;-245.963E-12;-255.423E-12;-258.577E-12;-255.423E-12;-294.840E-12;-297.994E-12;-299.570E-12;-301.147E-12;-301.147E-12;-304.300E-12;-316.914E-12;-304.300E-12;-353.178E-12;-345.294E-12;-406.785E-12;-419.398E-12;-405.208E-12;-441.472E-12;-422.552E-12;-441.472E-12;-443.049E-12;-422.552E-12;-444.625E-12;-435.165E-12;-441.472E-12;-443.049E-12
7;600;-228.619E-12;-225.466E-12;-233.350E-12;-252.270E-12;-260.153E-12;-253.846E-12;-269.613E-12;-296.417E-12;-309.030E-12;-304.300E-12;-301.147E-12;-302.724E-12;-313.761E-12;-318.491E-12;-320.067E-12;-351.601E-12;-353.178E-12;-408.362E-12;-414.668E-12;-405.208E-12;-428.859E-12;-428.859E-12;-450.932E-12;-443.049E-12;-420.975E-12;-432.012E-12;-439.895E-12;-439.895E-12;-443.049E-12
8;700;-227.043E-12;-233.350E-12;-236.503E-12;-255.423E-12;-266.460E-12;-258.577E-12;-271.190E-12;-288.534E-12;-301.147E-12;-304.300E-12;-302.724E-12;-312.184E-12;-316.914E-12;-315.337E-12;-315.337E-12;-345.294E-12;-340.564E-12;-397.325E-12;-409.938E-12;-406.785E-12;-435.165E-12;-427.282E-12;-446.202E-12;-438.319E-12;-414.668E-12;-425.705E-12;-441.472E-12;-439.895E-12;-444.625E-12
