;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
;Sweep Time (s);391.000E-3;20.393E+0;40.409E+0;60.426E+0;80.435E+0;100.444E+0;120.449E+0;140.468E+0;160.469E+0;180.471E+0;200.472E+0;220.473E+0;240.474E+0;260.475E+0;280.475E+0;300.476E+0;320.477E+0;340.478E+0;360.479E+0;380.480E+0;400.480E+0;420.481E+0;440.482E+0;460.483E+0;480.484E+0;500.485E+0;520.486E+0;540.487E+0;560.487E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
1;0;-228.562E-12;-238.020E-12;-247.478E-12;-255.359E-12;-269.546E-12;-266.393E-12;-283.733E-12;-282.156E-12;-282.156E-12;-294.767E-12;-304.224E-12;-313.682E-12;-308.953E-12;-308.953E-12;-280.580E-12;-189.155E-12;-162.358E-12;-178.121E-12;-203.342E-12;-206.494E-12;-201.765E-12;-217.528E-12;-219.105E-12;-223.833E-12;-238.020E-12;-249.054E-12;-238.020E-12;-238.020E-12;-258.512E-12
2;100;-241.173E-12;-236.444E-12;-242.749E-12;-263.241E-12;-267.970E-12;-271.122E-12;-291.614E-12;-285.309E-12;-280.580E-12;-297.919E-12;-308.953E-12;-312.106E-12;-313.682E-12;-305.801E-12;-280.580E-12;-197.036E-12;-149.748E-12;-178.121E-12;-192.308E-12;-201.765E-12;-197.036E-12;-212.799E-12;-220.681E-12;-225.410E-12;-228.562E-12;-241.173E-12;-239.596E-12;-249.054E-12;-258.512E-12
3;200;-244.325E-12;-242.749E-12;-261.664E-12;-260.088E-12;-267.970E-12;-279.004E-12;-282.156E-12;-285.309E-12;-290.038E-12;-305.801E-12;-301.072E-12;-302.648E-12;-304.224E-12;-307.377E-12;-280.580E-12;-193.884E-12;-154.477E-12;-179.697E-12;-197.036E-12;-209.647E-12;-198.613E-12;-217.528E-12;-217.528E-12;-223.833E-12;-228.562E-12;-236.444E-12;-242.749E-12;-252.207E-12;-250.630E-12
4;300;-238.020E-12;-241.173E-12;-258.512E-12;-269.546E-12;-272.698E-12;-271.122E-12;-277.427E-12;-275.851E-12;-282.156E-12;-307.377E-12;-304.224E-12;-307.377E-12;-313.682E-12;-316.835E-12;-285.309E-12;-193.884E-12;-159.205E-12;-181.274E-12;-203.342E-12;-193.884E-12;-204.918E-12;-204.918E-12;-215.952E-12;-225.410E-12;-228.562E-12;-236.444E-12;-245.902E-12;-250.630E-12;-252.207E-12
5;400;-245.902E-12;-236.444E-12;-255.359E-12;-271.122E-12;-272.698E-12;-272.698E-12;-280.580E-12;-280.580E-12;-293.190E-12;-293.190E-12;-307.377E-12;-307.377E-12;-312.106E-12;-301.072E-12;-279.004E-12;-190.731E-12;-171.816E-12;-186.002E-12;-193.884E-12;-197.036E-12;-197.036E-12;-212.799E-12;-214.376E-12;-228.562E-12;-231.715E-12;-241.173E-12;-253.783E-12;-253.783E-12;-238.020E-12
6;500;-249.054E-12;-239.596E-12;-255.359E-12;-274.275E-12;-264.817E-12;-274.275E-12;-277.427E-12;-291.614E-12;-293.190E-12;-299.495E-12;-304.224E-12;-305.801E-12;-316.835E-12;-305.801E-12;-288.461E-12;-193.884E-12;-162.358E-12;-182.850E-12;-203.342E-12;-198.613E-12;-208.071E-12;-220.681E-12;-214.376E-12;-226.986E-12;-233.291E-12;-234.867E-12;-261.664E-12;-249.054E-12;-250.630E-12
7;600;-253.783E-12;-249.054E-12;-264.817E-12;-274.275E-12;-253.783E-12;-274.275E-12;-277.427E-12;-290.038E-12;-291.614E-12;-296.343E-12;-308.953E-12;-308.953E-12;-305.801E-12;-308.953E-12;-282.156E-12;-190.731E-12;-165.511E-12;-178.121E-12;-192.308E-12;-197.036E-12;-206.494E-12;-219.105E-12;-219.105E-12;-226.986E-12;-234.867E-12;-242.749E-12;-245.902E-12;-256.936E-12;-249.054E-12
8;700;-239.596E-12;-250.630E-12;-255.359E-12;-263.241E-12;-261.664E-12;-271.122E-12;-288.461E-12;-293.190E-12;-290.038E-12;-293.190E-12;-305.801E-12;-310.529E-12;-304.224E-12;-312.106E-12;-285.309E-12;-193.884E-12;-157.629E-12;-173.392E-12;-206.494E-12;-198.613E-12;-204.918E-12;-214.376E-12;-220.681E-12;-230.139E-12;-228.562E-12;-247.478E-12;-247.478E-12;-239.596E-12;-256.936E-12
