;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
;Sweep Time (s);391.000E-3;20.393E+0;40.409E+0;60.426E+0;80.435E+0;100.444E+0;120.449E+0;140.468E+0;160.469E+0;180.471E+0;200.472E+0;220.473E+0;240.474E+0;260.475E+0;280.475E+0;300.476E+0;320.477E+0;340.478E+0;360.479E+0;380.480E+0;400.480E+0;420.481E+0;440.482E+0;460.483E+0;480.484E+0;500.485E+0;520.486E+0;540.487E+0;560.487E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
4219;421800;-115.069E-12;-133.985E-12;-151.324E-12;-178.121E-12;-215.952E-12;-236.444E-12;-239.596E-12;-241.173E-12;-249.054E-12;-264.817E-12;-266.393E-12;-274.275E-12;-277.427E-12;-266.393E-12;-286.885E-12;-305.801E-12;-315.258E-12;-420.870E-12;-441.362E-12;-457.125E-12;-449.243E-12;-466.582E-12;-468.159E-12;-483.922E-12;-487.074E-12;-482.345E-12;-494.956E-12;-488.650E-12;-479.193E-12
4220;421900;-115.069E-12;-122.951E-12;-152.900E-12;-181.274E-12;-219.105E-12;-238.020E-12;-233.291E-12;-258.512E-12;-250.630E-12;-271.122E-12;-277.427E-12;-274.275E-12;-286.885E-12;-267.970E-12;-290.038E-12;-305.801E-12;-315.258E-12;-431.904E-12;-424.022E-12;-461.853E-12;-455.548E-12;-460.277E-12;-461.853E-12;-482.345E-12;-487.074E-12;-474.464E-12;-490.227E-12;-488.650E-12;-483.922E-12
4221;422000;-116.646E-12;-116.646E-12;-145.019E-12;-179.697E-12;-220.681E-12;-233.291E-12;-231.715E-12;-249.054E-12;-249.054E-12;-263.241E-12;-264.817E-12;-280.580E-12;-280.580E-12;-277.427E-12;-296.343E-12;-299.495E-12;-321.563E-12;-427.175E-12;-430.328E-12;-461.853E-12;-468.159E-12;-460.277E-12;-461.853E-12;-483.922E-12;-483.922E-12;-488.650E-12;-487.074E-12;-491.803E-12;-485.498E-12
4222;422100;-111.917E-12;-121.374E-12;-141.866E-12;-186.002E-12;-215.952E-12;-234.867E-12;-249.054E-12;-255.359E-12;-252.207E-12;-261.664E-12;-279.004E-12;-280.580E-12;-294.767E-12;-271.122E-12;-291.614E-12;-294.767E-12;-327.869E-12;-431.904E-12;-430.328E-12;-458.701E-12;-447.667E-12;-468.159E-12;-469.735E-12;-498.108E-12;-491.803E-12;-494.956E-12;-491.803E-12;-491.803E-12;-480.769E-12
4223;422200;-118.222E-12;-121.374E-12;-152.900E-12;-181.274E-12;-222.257E-12;-223.833E-12;-238.020E-12;-247.478E-12;-258.512E-12;-258.512E-12;-269.546E-12;-282.156E-12;-277.427E-12;-267.970E-12;-282.156E-12;-301.072E-12;-323.140E-12;-420.870E-12;-433.480E-12;-444.514E-12;-442.938E-12;-468.159E-12;-472.888E-12;-490.227E-12;-487.074E-12;-488.650E-12;-487.074E-12;-490.227E-12;-488.650E-12
4224;422300;-108.764E-12;-116.646E-12;-162.358E-12;-181.274E-12;-215.952E-12;-236.444E-12;-242.749E-12;-249.054E-12;-249.054E-12;-266.393E-12;-266.393E-12;-290.038E-12;-293.190E-12;-264.817E-12;-290.038E-12;-308.953E-12;-318.411E-12;-424.022E-12;-428.751E-12;-444.514E-12;-435.057E-12;-463.430E-12;-480.769E-12;-494.956E-12;-487.074E-12;-488.650E-12;-498.108E-12;-496.532E-12;-488.650E-12
4225;422400;-108.764E-12;-127.680E-12;-157.629E-12;-184.426E-12;-212.799E-12;-236.444E-12;-247.478E-12;-253.783E-12;-247.478E-12;-264.817E-12;-263.241E-12;-275.851E-12;-288.461E-12;-275.851E-12;-288.461E-12;-312.106E-12;-319.987E-12;-431.904E-12;-436.633E-12;-453.972E-12;-455.548E-12;-461.853E-12;-474.464E-12;-491.803E-12;-488.650E-12;-482.345E-12;-499.684E-12;-483.922E-12;-482.345E-12
4226;422500;-107.188E-12;-119.798E-12;-152.900E-12;-171.816E-12;-211.223E-12;-238.020E-12;-236.444E-12;-238.020E-12;-256.936E-12;-261.664E-12;-271.122E-12;-286.885E-12;-288.461E-12;-274.275E-12;-294.767E-12;-310.529E-12;-319.987E-12;-438.209E-12;-425.599E-12;-461.853E-12;-453.972E-12;-460.277E-12;-465.006E-12;-487.074E-12;-490.227E-12;-474.464E-12;-491.803E-12;-485.498E-12;-477.616E-12
4227;422600;-111.917E-12;-126.103E-12;-156.053E-12;-171.816E-12;-219.105E-12;-230.139E-12;-236.444E-12;-249.054E-12;-245.902E-12;-271.122E-12;-271.122E-12;-285.309E-12;-280.580E-12;-275.851E-12;-297.919E-12;-304.224E-12;-308.953E-12;-420.870E-12;-422.446E-12;-449.243E-12;-449.243E-12;-455.548E-12;-458.701E-12;-485.498E-12;-493.379E-12;-472.888E-12;-482.345E-12;-491.803E-12;-482.345E-12
4228;422700;-107.188E-12;-118.222E-12;-141.866E-12;-182.850E-12;-215.952E-12;-238.020E-12;-244.325E-12;-253.783E-12;-242.749E-12;-260.088E-12;-264.817E-12;-290.038E-12;-274.275E-12;-272.698E-12;-293.190E-12;-307.377E-12;-308.953E-12;-416.141E-12;-428.751E-12;-449.243E-12;-439.785E-12;-461.853E-12;-465.006E-12;-487.074E-12;-487.074E-12;-461.853E-12;-488.650E-12;-483.922E-12;-491.803E-12
4229;422800;-113.493E-12;-116.646E-12;-145.019E-12;-178.121E-12;-211.223E-12;-239.596E-12;-244.325E-12;-250.630E-12;-244.325E-12;-255.359E-12;-277.427E-12;-280.580E-12;-280.580E-12;-280.580E-12;-286.885E-12;-296.343E-12;-305.801E-12;-408.260E-12;-431.904E-12;-453.972E-12;-444.514E-12;-449.243E-12;-463.430E-12;-474.464E-12;-493.379E-12;-468.159E-12;-487.074E-12;-488.650E-12;-477.616E-12
4230;422900;-105.612E-12;-124.527E-12;-146.595E-12;-174.968E-12;-209.647E-12;-239.596E-12;-241.173E-12;-241.173E-12;-258.512E-12;-264.817E-12;-269.546E-12;-280.580E-12;-275.851E-12;-267.970E-12;-283.733E-12;-297.919E-12;-315.258E-12;-414.565E-12;-427.175E-12;-452.396E-12;-446.091E-12;-460.277E-12;-455.548E-12;-487.074E-12;-483.922E-12;-482.345E-12;-487.074E-12;-480.769E-12;-477.616E-12
4231;423000;-110.340E-12;-132.409E-12;-141.866E-12;-178.121E-12;-215.952E-12;-230.139E-12;-238.020E-12;-244.325E-12;-249.054E-12;-260.088E-12;-271.122E-12;-275.851E-12;-280.580E-12;-269.546E-12;-288.461E-12;-288.461E-12;-301.072E-12;-424.022E-12;-419.294E-12;-461.853E-12;-438.209E-12;-461.853E-12;-465.006E-12;-476.040E-12;-488.650E-12;-483.922E-12;-488.650E-12;-479.193E-12;-479.193E-12
4232;423100;-107.188E-12;-141.866E-12;-152.900E-12;-178.121E-12;-208.071E-12;-238.020E-12;-230.139E-12;-253.783E-12;-255.359E-12;-264.817E-12;-275.851E-12;-274.275E-12;-279.004E-12;-275.851E-12;-279.004E-12;-297.919E-12;-307.377E-12;-420.870E-12;-428.751E-12;-441.362E-12;-441.362E-12;-458.701E-12;-460.277E-12;-482.345E-12;-482.345E-12;-480.769E-12;-496.532E-12;-472.888E-12;-471.311E-12
4233;423200;-113.493E-12;-129.256E-12;-152.900E-12;-178.121E-12;-212.799E-12;-236.444E-12;-231.715E-12;-241.173E-12;-252.207E-12;-258.512E-12;-267.970E-12;-280.580E-12;-285.309E-12;-267.970E-12;-272.698E-12;-297.919E-12;-318.411E-12;-419.294E-12;-419.294E-12;-449.243E-12;-446.091E-12;-452.396E-12;-466.582E-12;-483.922E-12;-490.227E-12;-471.311E-12;-498.108E-12;-477.616E-12;-480.769E-12
4234;423300;-108.764E-12;-130.832E-12;-146.595E-12;-170.240E-12;-211.223E-12;-234.867E-12;-244.325E-12;-250.630E-12;-253.783E-12;-267.970E-12;-274.275E-12;-277.427E-12;-279.004E-12;-264.817E-12;-272.698E-12;-297.919E-12;-312.106E-12;-420.870E-12;-416.141E-12;-441.362E-12;-442.938E-12;-458.701E-12;-474.464E-12;-476.040E-12;-490.227E-12;-483.922E-12;-488.650E-12;-483.922E-12;-460.277E-12
4235;423400;-118.222E-12;-135.561E-12;-145.019E-12;-181.274E-12;-211.223E-12;-238.020E-12;-234.867E-12;-252.207E-12;-252.207E-12;-256.936E-12;-269.546E-12;-271.122E-12;-288.461E-12;-271.122E-12;-285.309E-12;-297.919E-12;-326.292E-12;-424.022E-12;-427.175E-12;-460.277E-12;-447.667E-12;-458.701E-12;-465.006E-12;-480.769E-12;-493.379E-12;-485.498E-12;-493.379E-12;-487.074E-12;-477.616E-12
4236;423500;-104.035E-12;-130.832E-12;-152.900E-12;-173.392E-12;-220.681E-12;-233.291E-12;-242.749E-12;-252.207E-12;-261.664E-12;-255.359E-12;-271.122E-12;-286.885E-12;-285.309E-12;-269.546E-12;-291.614E-12;-302.648E-12;-324.716E-12;-424.022E-12;-433.480E-12;-446.091E-12;-447.667E-12;-458.701E-12;-461.853E-12;-483.922E-12;-491.803E-12;-472.888E-12;-496.532E-12;-479.193E-12;-490.227E-12
4237;423600;-110.340E-12;-140.290E-12;-146.595E-12;-182.850E-12;-209.647E-12;-239.596E-12;-238.020E-12;-253.783E-12;-264.817E-12;-260.088E-12;-274.275E-12;-290.038E-12;-283.733E-12;-274.275E-12;-286.885E-12;-301.072E-12;-312.106E-12;-424.022E-12;-424.022E-12;-442.938E-12;-447.667E-12;-452.396E-12;-465.006E-12;-490.227E-12;-491.803E-12;-476.040E-12;-483.922E-12;-476.040E-12;-479.193E-12
4238;423700;-110.340E-12;-132.409E-12;-148.171E-12;-187.579E-12;-209.647E-12;-233.291E-12;-244.325E-12;-253.783E-12;-253.783E-12;-267.970E-12;-271.122E-12;-279.004E-12;-282.156E-12;-261.664E-12;-279.004E-12;-304.224E-12;-307.377E-12;-420.870E-12;-414.565E-12;-447.667E-12;-439.785E-12;-460.277E-12;-460.277E-12;-487.074E-12;-488.650E-12;-485.498E-12;-493.379E-12;-487.074E-12;-471.311E-12
4239;423800;-118.222E-12;-116.646E-12;-149.748E-12;-184.426E-12;-212.799E-12;-233.291E-12;-245.902E-12;-245.902E-12;-255.359E-12;-264.817E-12;-271.122E-12;-277.427E-12;-283.733E-12;-286.885E-12;-277.427E-12;-301.072E-12;-316.835E-12;-433.480E-12;-424.022E-12;-447.667E-12;-444.514E-12;-460.277E-12;-461.853E-12;-494.956E-12;-491.803E-12;-482.345E-12;-494.956E-12;-487.074E-12;-483.922E-12
4240;423900;-119.798E-12;-132.409E-12;-146.595E-12;-178.121E-12;-209.647E-12;-234.867E-12;-238.020E-12;-253.783E-12;-253.783E-12;-263.241E-12;-272.698E-12;-264.817E-12;-290.038E-12;-274.275E-12;-285.309E-12;-308.953E-12;-315.258E-12;-419.294E-12;-430.328E-12;-447.667E-12;-449.243E-12;-463.430E-12;-468.159E-12;-491.803E-12;-496.532E-12;-477.616E-12;-487.074E-12;-483.922E-12;-483.922E-12
4241;424000;-119.798E-12;-127.680E-12;-141.866E-12;-170.240E-12;-208.071E-12;-244.325E-12;-238.020E-12;-250.630E-12;-256.936E-12;-255.359E-12;-277.427E-12;-282.156E-12;-277.427E-12;-283.733E-12;-280.580E-12;-294.767E-12;-315.258E-12;-428.751E-12;-441.362E-12;-438.209E-12;-442.938E-12;-461.853E-12;-463.430E-12;-488.650E-12;-485.498E-12;-493.379E-12;-487.074E-12;-477.616E-12;-488.650E-12
4242;424100;-100.883E-12;-124.527E-12;-143.443E-12;-179.697E-12;-212.799E-12;-233.291E-12;-236.444E-12;-253.783E-12;-255.359E-12;-258.512E-12;-275.851E-12;-280.580E-12;-274.275E-12;-279.004E-12;-283.733E-12;-290.038E-12;-321.563E-12;-431.904E-12;-436.633E-12;-450.819E-12;-452.396E-12;-465.006E-12;-469.735E-12;-494.956E-12;-493.379E-12;-490.227E-12;-493.379E-12;-482.345E-12;-483.922E-12
4243;424200;-119.798E-12;-113.493E-12;-149.748E-12;-182.850E-12;-215.952E-12;-233.291E-12;-244.325E-12;-245.902E-12;-261.664E-12;-261.664E-12;-272.698E-12;-280.580E-12;-280.580E-12;-272.698E-12;-285.309E-12;-301.072E-12;-323.140E-12;-431.904E-12;-441.362E-12;-455.548E-12;-458.701E-12;-465.006E-12;-457.125E-12;-490.227E-12;-488.650E-12;-479.193E-12;-487.074E-12;-474.464E-12;-480.769E-12
4244;424300;-116.646E-12;-124.527E-12;-154.477E-12;-181.274E-12;-209.647E-12;-234.867E-12;-239.596E-12;-255.359E-12;-247.478E-12;-260.088E-12;-263.241E-12;-282.156E-12;-277.427E-12;-277.427E-12;-286.885E-12;-299.495E-12;-324.716E-12;-427.175E-12;-433.480E-12;-458.701E-12;-450.819E-12;-466.582E-12;-477.616E-12;-476.040E-12;-487.074E-12;-472.888E-12;-499.684E-12;-482.345E-12;-476.040E-12
4245;424400;-111.917E-12;-132.409E-12;-152.900E-12;-179.697E-12;-214.376E-12;-230.139E-12;-245.902E-12;-250.630E-12;-261.664E-12;-256.936E-12;-272.698E-12;-280.580E-12;-283.733E-12;-271.122E-12;-285.309E-12;-299.495E-12;-329.445E-12;-424.022E-12;-422.446E-12;-450.819E-12;-446.091E-12;-465.006E-12;-479.193E-12;-483.922E-12;-482.345E-12;-466.582E-12;-496.532E-12;-491.803E-12;-476.040E-12
4246;424500;-111.917E-12;-132.409E-12;-148.171E-12;-187.579E-12;-215.952E-12;-236.444E-12;-245.902E-12;-247.478E-12;-250.630E-12;-258.512E-12;-274.275E-12;-275.851E-12;-285.309E-12;-269.546E-12;-291.614E-12;-296.343E-12;-321.563E-12;-422.446E-12;-428.751E-12;-449.243E-12;-447.667E-12;-458.701E-12;-474.464E-12;-480.769E-12;-496.532E-12;-476.040E-12;-491.803E-12;-485.498E-12;-477.616E-12
4247;424600;-116.646E-12;-127.680E-12;-149.748E-12;-187.579E-12;-211.223E-12;-236.444E-12;-234.867E-12;-245.902E-12;-258.512E-12;-266.393E-12;-269.546E-12;-271.122E-12;-285.309E-12;-279.004E-12;-297.919E-12;-288.461E-12;-319.987E-12;-435.057E-12;-428.751E-12;-444.514E-12;-455.548E-12;-469.735E-12;-477.616E-12;-491.803E-12;-494.956E-12;-483.922E-12;-502.837E-12;-479.193E-12;-479.193E-12
4248;424700;-107.188E-12;-126.103E-12;-156.053E-12;-184.426E-12;-211.223E-12;-239.596E-12;-239.596E-12;-252.207E-12;-255.359E-12;-264.817E-12;-269.546E-12;-277.427E-12;-290.038E-12;-280.580E-12;-293.190E-12;-299.495E-12;-321.563E-12;-430.328E-12;-422.446E-12;-446.091E-12;-452.396E-12;-471.311E-12;-460.277E-12;-487.074E-12;-483.922E-12;-490.227E-12;-505.990E-12;-479.193E-12;-485.498E-12
4249;424800;-113.493E-12;-126.103E-12;-146.595E-12;-181.274E-12;-208.071E-12;-238.020E-12;-247.478E-12;-242.749E-12;-253.783E-12;-266.393E-12;-271.122E-12;-285.309E-12;-283.733E-12;-267.970E-12;-286.885E-12;-308.953E-12;-319.987E-12;-424.022E-12;-422.446E-12;-450.819E-12;-449.243E-12;-476.040E-12;-472.888E-12;-491.803E-12;-482.345E-12;-487.074E-12;-498.108E-12;-485.498E-12;-483.922E-12
4250;424900;-116.646E-12;-121.374E-12;-146.595E-12;-182.850E-12;-206.494E-12;-238.020E-12;-245.902E-12;-252.207E-12;-253.783E-12;-261.664E-12;-267.970E-12;-274.275E-12;-285.309E-12;-282.156E-12;-291.614E-12;-297.919E-12;-321.563E-12;-427.175E-12;-419.294E-12;-446.091E-12;-433.480E-12;-463.430E-12;-472.888E-12;-490.227E-12;-488.650E-12;-494.956E-12;-493.379E-12;-483.922E-12;-476.040E-12
4251;425000;-110.340E-12;-121.374E-12;-154.477E-12;-174.968E-12;-212.799E-12;-233.291E-12;-234.867E-12;-250.630E-12;-256.936E-12;-256.936E-12;-279.004E-12;-275.851E-12;-290.038E-12;-275.851E-12;-286.885E-12;-301.072E-12;-327.869E-12;-431.904E-12;-414.565E-12;-444.514E-12;-442.938E-12;-468.159E-12;-471.311E-12;-493.379E-12;-494.956E-12;-483.922E-12;-498.108E-12;-485.498E-12;-487.074E-12
4252;425100;-105.612E-12;-126.103E-12;-159.205E-12;-187.579E-12;-217.528E-12;-228.562E-12;-238.020E-12;-249.054E-12;-255.359E-12;-256.936E-12;-264.817E-12;-272.698E-12;-286.885E-12;-269.546E-12;-283.733E-12;-293.190E-12;-319.987E-12;-424.022E-12;-424.022E-12;-449.243E-12;-439.785E-12;-449.243E-12;-466.582E-12;-493.379E-12;-482.345E-12;-479.193E-12;-505.990E-12;-474.464E-12;-483.922E-12
4253;425200;-108.764E-12;-127.680E-12;-149.748E-12;-178.121E-12;-214.376E-12;-244.325E-12;-242.749E-12;-245.902E-12;-253.783E-12;-252.207E-12;-263.241E-12;-274.275E-12;-280.580E-12;-266.393E-12;-285.309E-12;-294.767E-12;-327.869E-12;-424.022E-12;-428.751E-12;-447.667E-12;-447.667E-12;-469.735E-12;-463.430E-12;-482.345E-12;-477.616E-12;-482.345E-12;-493.379E-12;-482.345E-12;-474.464E-12
4254;425300;-105.612E-12;-126.103E-12;-148.171E-12;-179.697E-12;-209.647E-12;-239.596E-12;-247.478E-12;-258.512E-12;-252.207E-12;-255.359E-12;-267.970E-12;-280.580E-12;-294.767E-12;-263.241E-12;-288.461E-12;-294.767E-12;-318.411E-12;-427.175E-12;-430.328E-12;-449.243E-12;-452.396E-12;-469.735E-12;-471.311E-12;-485.498E-12;-483.922E-12;-480.769E-12;-494.956E-12;-474.464E-12;-485.498E-12
4255;425400;-105.612E-12;-130.832E-12;-156.053E-12;-184.426E-12;-209.647E-12;-236.444E-12;-236.444E-12;-247.478E-12;-256.936E-12;-263.241E-12;-266.393E-12;-274.275E-12;-294.767E-12;-271.122E-12;-285.309E-12;-294.767E-12;-318.411E-12;-427.175E-12;-444.514E-12;-435.057E-12;-460.277E-12;-460.277E-12;-468.159E-12;-488.650E-12;-490.227E-12;-487.074E-12;-494.956E-12;-479.193E-12;-482.345E-12
4256;425500;-113.493E-12;-127.680E-12;-154.477E-12;-187.579E-12;-208.071E-12;-230.139E-12;-230.139E-12;-249.054E-12;-250.630E-12;-263.241E-12;-267.970E-12;-274.275E-12;-285.309E-12;-264.817E-12;-288.461E-12;-296.343E-12;-326.292E-12;-422.446E-12;-431.904E-12;-438.209E-12;-461.853E-12;-449.243E-12;-461.853E-12;-493.379E-12;-501.261E-12;-483.922E-12;-498.108E-12;-483.922E-12;-479.193E-12
4257;425600;-111.917E-12;-127.680E-12;-159.205E-12;-181.274E-12;-197.036E-12;-236.444E-12;-239.596E-12;-255.359E-12;-255.359E-12;-260.088E-12;-269.546E-12;-274.275E-12;-282.156E-12;-274.275E-12;-294.767E-12;-293.190E-12;-318.411E-12;-430.328E-12;-433.480E-12;-444.514E-12;-449.243E-12;-461.853E-12;-468.159E-12;-502.837E-12;-496.532E-12;-498.108E-12;-499.684E-12;-496.532E-12;-488.650E-12
4258;425700;-104.035E-12;-122.951E-12;-148.171E-12;-181.274E-12;-214.376E-12;-233.291E-12;-241.173E-12;-252.207E-12;-261.664E-12;-261.664E-12;-267.970E-12;-272.698E-12;-291.614E-12;-279.004E-12;-293.190E-12;-293.190E-12;-316.835E-12;-419.294E-12;-427.175E-12;-452.396E-12;-453.972E-12;-460.277E-12;-469.735E-12;-485.498E-12;-505.990E-12;-487.074E-12;-502.837E-12;-494.956E-12;-494.956E-12
4259;425800;-107.188E-12;-129.256E-12;-148.171E-12;-197.036E-12;-217.528E-12;-242.749E-12;-234.867E-12;-253.783E-12;-261.664E-12;-255.359E-12;-279.004E-12;-271.122E-12;-294.767E-12;-274.275E-12;-286.885E-12;-299.495E-12;-331.021E-12;-424.022E-12;-428.751E-12;-452.396E-12;-447.667E-12;-465.006E-12;-466.582E-12;-483.922E-12;-499.684E-12;-474.464E-12;-504.413E-12;-498.108E-12;-485.498E-12
4260;425900;-108.764E-12;-127.680E-12;-146.595E-12;-193.884E-12;-211.223E-12;-244.325E-12;-228.562E-12;-241.173E-12;-247.478E-12;-260.088E-12;-263.241E-12;-277.427E-12;-296.343E-12;-271.122E-12;-294.767E-12;-296.343E-12;-323.140E-12;-424.022E-12;-431.904E-12;-455.548E-12;-455.548E-12;-457.125E-12;-453.972E-12;-494.956E-12;-479.193E-12;-480.769E-12;-491.803E-12;-490.227E-12;-488.650E-12
4261;426000;-110.340E-12;-124.527E-12;-167.087E-12;-181.274E-12;-209.647E-12;-238.020E-12;-223.833E-12;-252.207E-12;-256.936E-12;-263.241E-12;-266.393E-12;-274.275E-12;-280.580E-12;-280.580E-12;-293.190E-12;-299.495E-12;-305.801E-12;-416.141E-12;-431.904E-12;-450.819E-12;-447.667E-12;-457.125E-12;-471.311E-12;-476.040E-12;-485.498E-12;-485.498E-12;-494.956E-12;-480.769E-12;-490.227E-12
4262;426100;-111.917E-12;-126.103E-12;-152.900E-12;-167.087E-12;-214.376E-12;-233.291E-12;-234.867E-12;-244.325E-12;-256.936E-12;-263.241E-12;-264.817E-12;-274.275E-12;-283.733E-12;-267.970E-12;-290.038E-12;-302.648E-12;-319.987E-12;-428.751E-12;-435.057E-12;-446.091E-12;-446.091E-12;-468.159E-12;-476.040E-12;-480.769E-12;-483.922E-12;-491.803E-12;-493.379E-12;-487.074E-12;-480.769E-12
4263;426200;-108.764E-12;-110.340E-12;-145.019E-12;-182.850E-12;-211.223E-12;-239.596E-12;-245.902E-12;-250.630E-12;-253.783E-12;-245.902E-12;-258.512E-12;-274.275E-12;-286.885E-12;-269.546E-12;-285.309E-12;-312.106E-12;-318.411E-12;-438.209E-12;-433.480E-12;-457.125E-12;-452.396E-12;-471.311E-12;-466.582E-12;-483.922E-12;-482.345E-12;-477.616E-12;-490.227E-12;-488.650E-12;-487.074E-12
4264;426300;-116.646E-12;-127.680E-12;-138.714E-12;-170.240E-12;-214.376E-12;-230.139E-12;-241.173E-12;-247.478E-12;-253.783E-12;-258.512E-12;-271.122E-12;-266.393E-12;-299.495E-12;-274.275E-12;-288.461E-12;-293.190E-12;-331.021E-12;-424.022E-12;-433.480E-12;-447.667E-12;-455.548E-12;-476.040E-12;-471.311E-12;-483.922E-12;-479.193E-12;-479.193E-12;-490.227E-12;-482.345E-12;-485.498E-12
4265;426400;-111.917E-12;-124.527E-12;-145.019E-12;-178.121E-12;-209.647E-12;-231.715E-12;-238.020E-12;-239.596E-12;-252.207E-12;-263.241E-12;-258.512E-12;-274.275E-12;-285.309E-12;-279.004E-12;-285.309E-12;-297.919E-12;-316.835E-12;-417.717E-12;-439.785E-12;-441.362E-12;-450.819E-12;-468.159E-12;-461.853E-12;-476.040E-12;-490.227E-12;-472.888E-12;-498.108E-12;-474.464E-12;-477.616E-12
4266;426500;-107.188E-12;-138.714E-12;-154.477E-12;-176.545E-12;-206.494E-12;-236.444E-12;-247.478E-12;-253.783E-12;-242.749E-12;-266.393E-12;-267.970E-12;-275.851E-12;-282.156E-12;-275.851E-12;-296.343E-12;-301.072E-12;-316.835E-12;-428.751E-12;-439.785E-12;-436.633E-12;-453.972E-12;-468.159E-12;-469.735E-12;-471.311E-12;-480.769E-12;-485.498E-12;-491.803E-12;-485.498E-12;-479.193E-12
4267;426600;-116.646E-12;-124.527E-12;-148.171E-12;-176.545E-12;-215.952E-12;-241.173E-12;-239.596E-12;-247.478E-12;-249.054E-12;-267.970E-12;-264.817E-12;-272.698E-12;-296.343E-12;-269.546E-12;-290.038E-12;-291.614E-12;-308.953E-12;-419.294E-12;-431.904E-12;-442.938E-12;-457.125E-12;-461.853E-12;-463.430E-12;-466.582E-12;-482.345E-12;-477.616E-12;-490.227E-12;-480.769E-12;-483.922E-12
4268;426700;-107.188E-12;-113.493E-12;-151.324E-12;-174.968E-12;-204.918E-12;-236.444E-12;-234.867E-12;-249.054E-12;-266.393E-12;-260.088E-12;-261.664E-12;-266.393E-12;-296.343E-12;-277.427E-12;-286.885E-12;-297.919E-12;-310.529E-12;-425.599E-12;-442.938E-12;-446.091E-12;-450.819E-12;-463.430E-12;-461.853E-12;-482.345E-12;-491.803E-12;-477.616E-12;-496.532E-12;-483.922E-12;-474.464E-12
4269;426800;-122.951E-12;-118.222E-12;-149.748E-12;-184.426E-12;-206.494E-12;-236.444E-12;-233.291E-12;-245.902E-12;-261.664E-12;-266.393E-12;-266.393E-12;-280.580E-12;-299.495E-12;-285.309E-12;-302.648E-12;-304.224E-12;-319.987E-12;-417.717E-12;-438.209E-12;-441.362E-12;-452.396E-12;-466.582E-12;-466.582E-12;-488.650E-12;-487.074E-12;-479.193E-12;-490.227E-12;-494.956E-12;-485.498E-12
4270;426900;-116.646E-12;-126.103E-12;-151.324E-12;-187.579E-12;-212.799E-12;-236.444E-12;-250.630E-12;-245.902E-12;-264.817E-12;-266.393E-12;-269.546E-12;-282.156E-12;-290.038E-12;-285.309E-12;-293.190E-12;-297.919E-12;-326.292E-12;-430.328E-12;-436.633E-12;-457.125E-12;-449.243E-12;-465.006E-12;-461.853E-12;-482.345E-12;-491.803E-12;-477.616E-12;-482.345E-12;-487.074E-12;-493.379E-12
4271;427000;-113.493E-12;-129.256E-12;-149.748E-12;-190.731E-12;-204.918E-12;-236.444E-12;-238.020E-12;-247.478E-12;-255.359E-12;-258.512E-12;-272.698E-12;-283.733E-12;-274.275E-12;-272.698E-12;-290.038E-12;-312.106E-12;-319.987E-12;-409.836E-12;-425.599E-12;-446.091E-12;-450.819E-12;-457.125E-12;-460.277E-12;-479.193E-12;-488.650E-12;-479.193E-12;-496.532E-12;-493.379E-12;-490.227E-12
4272;427100;-111.917E-12;-137.137E-12;-151.324E-12;-184.426E-12;-214.376E-12;-231.715E-12;-238.020E-12;-233.291E-12;-255.359E-12;-260.088E-12;-277.427E-12;-277.427E-12;-290.038E-12;-274.275E-12;-283.733E-12;-293.190E-12;-321.563E-12;-419.294E-12;-433.480E-12;-444.514E-12;-450.819E-12;-474.464E-12;-453.972E-12;-487.074E-12;-490.227E-12;-490.227E-12;-493.379E-12;-482.345E-12;-490.227E-12
4273;427200;-116.646E-12;-129.256E-12;-160.782E-12;-186.002E-12;-214.376E-12;-234.867E-12;-234.867E-12;-247.478E-12;-261.664E-12;-269.546E-12;-266.393E-12;-280.580E-12;-290.038E-12;-283.733E-12;-290.038E-12;-307.377E-12;-319.987E-12;-430.328E-12;-431.904E-12;-444.514E-12;-447.667E-12;-463.430E-12;-468.159E-12;-487.074E-12;-488.650E-12;-485.498E-12;-491.803E-12;-482.345E-12;-485.498E-12
4274;427300;-119.798E-12;-133.985E-12;-160.782E-12;-182.850E-12;-215.952E-12;-236.444E-12;-245.902E-12;-250.630E-12;-256.936E-12;-266.393E-12;-260.088E-12;-293.190E-12;-286.885E-12;-279.004E-12;-294.767E-12;-308.953E-12;-321.563E-12;-416.141E-12;-435.057E-12;-447.667E-12;-457.125E-12;-468.159E-12;-469.735E-12;-490.227E-12;-482.345E-12;-479.193E-12;-491.803E-12;-485.498E-12;-480.769E-12
