;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
;Sweep Time (s);371.000E-3;40.373E+0;80.373E+0;120.375E+0;160.374E+0;200.376E+0;240.377E+0;280.378E+0;320.378E+0;360.379E+0;400.380E+0;440.380E+0;480.381E+0;520.382E+0;560.383E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
35;3400;-25.181E-12;-26.755E-12;-31.476E-12;-29.902E-12;-39.345E-12;-59.804E-12;-69.247E-12;-72.395E-12;-75.542E-12;-146.363E-12;-141.642E-12;-155.806E-12;-190.430E-12;-195.151E-12;-195.151E-12
36;3500;-23.607E-12;-28.328E-12;-28.328E-12;-25.181E-12;-36.197E-12;-53.509E-12;-66.100E-12;-70.821E-12;-59.804E-12;-140.068E-12;-149.511E-12;-162.101E-12;-184.134E-12;-192.003E-12;-188.856E-12
37;3600;-15.738E-12;-28.328E-12;-22.033E-12;-26.755E-12;-48.788E-12;-51.935E-12;-56.657E-12;-58.231E-12;-66.100E-12;-143.216E-12;-152.659E-12;-165.249E-12;-182.561E-12;-193.577E-12;-192.003E-12
38;3700;-22.033E-12;-29.902E-12;-17.312E-12;-33.050E-12;-55.083E-12;-51.935E-12;-48.788E-12;-61.378E-12;-70.821E-12;-146.363E-12;-147.937E-12;-162.101E-12;-182.561E-12;-192.003E-12;-201.446E-12
39;3800;-17.312E-12;-33.050E-12;-26.755E-12;-31.476E-12;-37.771E-12;-58.231E-12;-56.657E-12;-62.952E-12;-73.969E-12;-143.216E-12;-152.659E-12;-157.380E-12;-187.282E-12;-193.577E-12;-196.725E-12
40;3900;-17.312E-12;-28.328E-12;-23.607E-12;-29.902E-12;-45.640E-12;-64.526E-12;-64.526E-12;-64.526E-12;-64.526E-12;-146.363E-12;-144.790E-12;-149.511E-12;-190.430E-12;-180.987E-12;-187.282E-12
41;4000;-15.738E-12;-40.919E-12;-31.476E-12;-37.771E-12;-48.788E-12;-56.657E-12;-64.526E-12;-77.116E-12;-61.378E-12;-140.068E-12;-149.511E-12;-158.954E-12;-182.561E-12;-188.856E-12;-182.561E-12
42;4100;-26.755E-12;-31.476E-12;-36.197E-12;-28.328E-12;-51.935E-12;-61.378E-12;-73.969E-12;-59.804E-12;-62.952E-12;-154.232E-12;-147.937E-12;-157.380E-12;-192.003E-12;-190.430E-12;-182.561E-12
43;4200;-15.738E-12;-22.033E-12;-29.902E-12;-31.476E-12;-42.493E-12;-58.231E-12;-72.395E-12;-58.231E-12;-77.116E-12;-147.937E-12;-146.363E-12;-165.249E-12;-192.003E-12;-187.282E-12;-179.413E-12
44;4300;-20.459E-12;-25.181E-12;-26.755E-12;-23.607E-12;-44.066E-12;-59.804E-12;-66.100E-12;-64.526E-12;-69.247E-12;-144.790E-12;-149.511E-12;-171.544E-12;-182.561E-12;-199.872E-12;-169.970E-12
